DateTime,AQI
2023-07-25,51
2023-07-26,41
2023-07-27,18
2023-07-28,39
2023-07-29,17
2023-07-30,22
2023-07-31,27
2023-08-01,33
2023-08-02,38
2023-08-03,43
2023-08-04,49
2023-08-05,46
2023-08-06,44
2023-08-07,3
2023-08-09,46
2023-08-10,53
2023-08-11,56
2023-08-13,38
2023-08-14,48
2023-08-15,48
2023-08-16,49
2023-08-17,50
2023-08-18,51
2023-08-19,51
2023-08-20,52
2023-08-21,52
2023-08-22,49
2023-08-23,31
2023-08-24,34
2023-08-25,36
2023-08-26,37
2023-08-28,40
2023-08-29,42
2023-08-30,43
2023-08-31,45
2023-09-01,46
2023-09-02,48
2023-09-03,49
2023-09-04,50
2023-09-05,52
2023-09-06,53
2023-09-07,55
2023-09-08,56
2023-09-09,58
2023-09-10,59
2023-09-11,61
2023-09-12,62
2023-09-13,64
2023-09-14,65
2023-09-15,67
2023-09-16,68
2023-09-17,69
2023-09-18,71
2023-09-19,72
2023-09-20,74
2023-09-21,75
2023-09-22,77
2023-09-23,78
2023-09-24,80
2023-09-25,81
2023-09-26,83
2023-09-27,84
2023-09-28,85
2023-09-29,87
2023-09-30,88
2023-10-01,90
2023-10-02,91
2023-10-03,93
2023-10-04,94
2023-10-05,96
2023-10-06,97
2023-10-07,99
2023-10-08,100
2023-10-09,103
2023-10-10,106
2023-10-11,109
2023-10-12,112
2023-10-13,115
2023-10-14,97
2023-10-15,86
2023-10-16,75
2023-10-17,64
2023-10-18,54
2023-10-19,43
2023-10-20,32
2023-10-21,21
2023-10-22,46
2023-10-23,71
2023-10-24,96
2023-10-25,143
2023-10-26,193
2023-10-27,243
2023-10-28,294
2023-10-29,310
2023-10-30,322
2023-10-31,333
2023-11-01,345
2023-11-02,388
2023-11-07,398
2023-11-10,305
2023-11-11,212
2023-11-12,310
2023-11-17,392
2023-11-18,326
2023-11-19,312
2023-11-20,350
2023-11-23,395
2023-11-25,398
2023-11-26,372
2023-11-27,372
2023-11-28,310
2023-11-29,348
2023-11-30,353
2023-12-01,395
2023-12-02,343
2023-12-03,306
2023-12-04,324
2023-12-05,311
2023-12-06,316
2023-12-07,333
2023-12-08,322
2023-12-09,337
2023-12-10,336
2023-12-11,335
2023-12-12,365
2023-12-13,379
2023-12-14,340
2023-12-15,348
2023-12-16,357
2023-12-17,364
2023-12-18,346
2023-12-19,313
2023-12-20,319
2023-12-21,401
2023-12-25,385
2023-12-26,398
2023-12-28,384
2024-01-01,373
2024-01-02,368
2024-01-03,378
2024-01-05,366
2024-01-06,358
2024-01-07,356
2024-01-09,338
2024-01-10,352
2024-01-11,376
2024-01-12,363
2024-01-15,369
2024-01-17,392
2024-01-18,351
2024-01-19,365
2024-01-20,369
2024-01-21,367
2024-01-22,380
2024-01-23,401
2024-01-25,386
2024-01-27,359
2024-01-29,386
2024-02-01,52
2024-02-02,281
